2026-07-16T11:02:20.167763763Z stderr F I0716 11:02:20.167627       1 serving.go:386] Generated self-signed cert in-memory
2026-07-16T11:02:22.401342642Z stderr F W0716 11:02:22.401221       1 requestheader_controller.go:204] Unable to get configmap/extension-apiserver-authentication in kube-system.  Usually fixed by 'kubectl create rolebinding -n kube-system ROLEBINDING_NAME --role=extension-apiserver-authentication-reader --serviceaccount=YOUR_NS:YOUR_SA'
2026-07-16T11:02:22.401399778Z stderr F W0716 11:02:22.401353       1 authentication.go:397] Error looking up in-cluster authentication configuration: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot get resource "configmaps" in API group "" in the namespace "kube-system"
2026-07-16T11:02:22.401463557Z stderr F W0716 11:02:22.401408       1 authentication.go:398] Continuing without authentication configuration. This may treat all requests as anonymous.
2026-07-16T11:02:22.401531615Z stderr F W0716 11:02:22.401480       1 authentication.go:399] To require authentication configuration lookup to succeed, set --authentication-tolerate-lookup-failure=false
2026-07-16T11:02:22.441048904Z stderr F I0716 11:02:22.440893       1 server.go:166] "Starting Kubernetes Scheduler" version="v1.32.2"
2026-07-16T11:02:22.44106843Z stderr F I0716 11:02:22.440932       1 server.go:168] "Golang settings" GOGC="" GOMAXPROCS="" GOTRACEBACK=""
2026-07-16T11:02:22.443510022Z stderr F I0716 11:02:22.443408       1 configmap_cafile_content.go:205] "Starting controller" name="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-07-16T11:02:22.443646236Z stderr F I0716 11:02:22.443423       1 secure_serving.go:213] Serving securely on 127.0.0.1:10259
2026-07-16T11:02:22.446528891Z stderr F I0716 11:02:22.443447       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
2026-07-16T11:02:22.44653878Z stderr F I0716 11:02:22.443518       1 shared_informer.go:313] Waiting for caches to sync for client-ca::kube-system::extension-apiserver-authentication::client-ca-file
2026-07-16T11:02:22.446863949Z stderr F W0716 11:02:22.446758       1 reflector.go:569] runtime/asm_amd64.s:1700: failed to list *v1.ConfigMap: configmaps "extension-apiserver-authentication" is forbidden: User "system:kube-scheduler" cannot list resource "configmaps" in API group "" in the namespace "kube-system"
