IMAGE                                           TAG                  IMAGE ID            SIZE
docker.io/kindest/kindnetd                      v20250214-acbabc1a   df3849d954c98       39MB
docker.io/kindest/local-path-helper             v20241212-8ac705d0   baa0d31514ee5       3.08MB
docker.io/kindest/local-path-provisioner        v20250214-acbabc1a   bbb6209cc873b       22.5MB
ghcr.io/k8snetworkplumbingwg/multus-cni         snapshot             dad5edb008715       186MB
k8s.gcr.io/e2e-test-images/agnhost              2.40                 28081458d86cc       51.2MB
quay.io/centos/centos                           stream10             6ff0109610ca5       112MB
quay.io/frrouting/frr                           10.6.0               112fe85c27b0e       196MB
quay.io/frrouting/frr                           9.1.0                e81800e2198ce       80.3MB
quay.io/metallb/frr-k8s                         v0.0.17              9d6d6e8a1b29c       117MB
quay.io/metallb/frr-k8s                         v0.0.18              86f7c212efbd4       83.7MB
quay.io/openperouter/router                     main-grout           96280faf9eafa       690MB
registry.k8s.io/coredns/coredns                 v1.11.3              c69fa2e9cbf5f       18.6MB
registry.k8s.io/etcd                            3.5.16-0             a9e7e6b294baf       57.7MB
registry.k8s.io/kube-apiserver-amd64            v1.32.2              85b7a174738ba       98.1MB
registry.k8s.io/kube-apiserver                  v1.32.2              85b7a174738ba       98.1MB
registry.k8s.io/kube-controller-manager-amd64   v1.32.2              b6a454c5a800d       90.8MB
registry.k8s.io/kube-controller-manager         v1.32.2              b6a454c5a800d       90.8MB
registry.k8s.io/kube-proxy-amd64                v1.32.2              f1332858868e1       95.3MB
registry.k8s.io/kube-proxy                      v1.32.2              f1332858868e1       95.3MB
registry.k8s.io/kube-scheduler-amd64            v1.32.2              d8e673e7c9983       70.6MB
registry.k8s.io/kube-scheduler                  v1.32.2              d8e673e7c9983       70.6MB
registry.k8s.io/kubebuilder/kube-rbac-proxy     v0.13.1              eb5a02daef2fe       56.5MB
registry.k8s.io/pause                           3.10                 873ed75102791       320kB
